code,aoi_name,ptype,monitoring_number,version_number,category,subcategory,unit,total,affected,total_raw,affected_raw,snapshot_date
EMSR865,Monterìa,DEL,2,1,Flooded area,None,ha,\N,50383.5,"""NA""",50383.5,2026-08-16
EMSR865,Monterìa,DEL,2,1,Flooded area,None,ha,\N,50383.5,"""NA""",50383.5,2026-08-18
EMSR865,Monterìa,DEL,2,1,Flooded area,None,ha,\N,50383.5,"""NA""",50383.5,2026-08-21
EMSR865,Monterìa,DEL,2,1,Land use,Forests ,ha,50537.3,2063.2,50537.3,2063.2,2026-08-15
EMSR865,Monterìa,DEL,2,1,Land use,Forests ,ha,50537.3,2063.2,50537.3,2063.2,2026-08-16
EMSR865,Monterìa,DEL,2,1,Land use,Forests ,ha,50537.3,2063.2,50537.3,2063.2,2026-08-18
EMSR865,Monterìa,DEL,2,1,Land use,Forests ,ha,50537.3,2063.2,50537.3,2063.2,2026-08-21
EMSR865,Monterìa,DEL,2,1,Land use,Heterogeneous agricultural areas ,ha,86053.3,9869.6,86053.3,9869.6,2026-08-15
EMSR865,Monterìa,DEL,2,1,Land use,Heterogeneous agricultural areas ,ha,86053.3,9869.6,86053.3,9869.6,2026-08-16
EMSR865,Monterìa,DEL,2,1,Land use,Heterogeneous agricultural areas ,ha,86053.3,9869.6,86053.3,9869.6,2026-08-18
EMSR865,Monterìa,DEL,2,1,Land use,Heterogeneous agricultural areas ,ha,86053.3,9869.6,86053.3,9869.6,2026-08-21
EMSR865,Monterìa,DEL,2,1,Land use,Inland wetlands ,ha,44345.9,15924.2,44345.9,15924.2,2026-08-15
EMSR865,Monterìa,DEL,2,1,Land use,Inland wetlands ,ha,44345.9,15924.2,44345.9,15924.2,2026-08-16
EMSR865,Monterìa,DEL,2,1,Land use,Inland wetlands ,ha,44345.9,15924.2,44345.9,15924.2,2026-08-18
EMSR865,Monterìa,DEL,2,1,Land use,Inland wetlands ,ha,44345.9,15924.2,44345.9,15924.2,2026-08-21
EMSR865,Monterìa,DEL,2,1,Land use,Other,ha,9368.9,252.4,9368.9,252.4,2026-08-15
EMSR865,Monterìa,DEL,2,1,Land use,Other,ha,9368.9,252.4,9368.9,252.4,2026-08-16
EMSR865,Monterìa,DEL,2,1,Land use,Other,ha,9368.9,252.4,9368.9,252.4,2026-08-18
EMSR865,Monterìa,DEL,2,1,Land use,Other,ha,9368.9,252.4,9368.9,252.4,2026-08-21
EMSR865,Monterìa,DEL,2,1,Land use,Shrub and/or herbaceous vegetation association,ha,227375.1,22274.1,227375.1,22274.1,2026-08-15
EMSR865,Monterìa,DEL,2,1,Land use,Shrub and/or herbaceous vegetation association,ha,227375.1,22274.1,227375.1,22274.1,2026-08-16
EMSR865,Monterìa,DEL,2,1,Land use,Shrub and/or herbaceous vegetation association,ha,227375.1,22274.1,227375.1,22274.1,2026-08-18
