paquete_sha,capa,idx,producto_id,municipio,departamento,dano,tipo,sensor,sensor_date,metodo,copyright,lat,lon,first_seen,snapshot_date
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,9,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.066978177000067,-75.51667500699995,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,10,3245,Manizales,Caldas,Damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.067532111000048,-75.51736783999996,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,11,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.066901335000068,-75.52003837799998,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,12,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.067178889000047,-75.51305101299994,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,13,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.067834667000056,-75.51365192099996,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,14,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.067984938000052,-75.51365488499994,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,15,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.065521849000049,-75.51094312999999,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,16,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.06536585200007,-75.51096482299994,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,17,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.065006660000051,-75.51902252199994,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,18,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.064415532000055,-75.51836403399994,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,19,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.066274337000038,-75.52159793799996,2026-08-21T09:23:55Z,2026-08-31
45652401331b05936c218c4fe29777f061da600daaef6e63f46c5cb7665043e9,UrbanP,20,3245,Manizales,Caldas,Possibly damaged,Residential,Pleiades,2026/08/11 15:53 UTC,Photo-interpretation,© ICube-SERTIT 2026,5.066162353000038,-75.52157660199998,2026-08-21T09:23:55Z,2026-08-31
